PredictionAccuracy,Methods
0.7386753082622701,MT_BayesB
0.8037533691394434,ST_GBLUP
0.7800758702433668,ST_BayesB
0.7478413191564289,MT_SSBayesA
0.7454299782587965,MT_SSBayesC
0.7773241869731398,ST_BayesC
0.8007576240841363,ST_SSBayesA
0.7528477848771824,ST_PBLUP
0.7985772270128902,ST_BayesA
0.6724591059134223,MT_PBLUP
0.7916135693604751,ST_SSBayesC
0.7564526829163339,ST_BayesL
0.8095930755107084,ST_SSBayesB
0.7083168757772417,MT_RR-BLUP
0.7280653770023297,MT_SSBayesL
0.7604301286012175,ST_RR-BLUP
0.7196613180924931,MT_GBLUP
0.7583932988914939,MT_SSBayesB
0.756231362049423,MT_BayesA
0.7986351262380379,ST_SSRR-BLUP
0.8035288972750361,ST_SSBayesL
0.7194521657920868,MT_BayesL
0.7445244462923208,MT_SSRR-BLUP
0.7073050138256106,MT_BayesC
