component,variance
phenotype,1.970228
group,0.010793
litter,0.010315
omics,1.346984
genetic_total,0.500000
genetic_direct,0.100000
genetic_indirect,0.400000
genetic_indirect_omic1,0.012898
genetic_indirect_omic2,0.076696
genetic_indirect_omic3,0.045349
genetic_indirect_omic4,0.017197
genetic_indirect_omic5,0.024429
genetic_indirect_omic6,0.028765
genetic_indirect_omic7,0.031089
genetic_indirect_omic8,0.013997
genetic_indirect_omic9,0.157606
genetic_indirect_omic10,0.004017
residual,0.496053
